행정구역(시군구)별,연령별,항목,단위,2021. 08 월,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년
종로구,0세,남자인구수,명,252,561,511,527,499,533,402,417,409,402,317,323,311,244
종로구,0세,여자인구수,명,233,505,471,474,471,466,381,399,408,362,335,286,298,225
종로구,1세,남자인구수,명,262,576,590,505,538,477,516,415,436,428,399,343,312,292
종로구,1세,여자인구수,명,254,587,515,479,489,459,468,390,424,400,395,372,278,293
종로구,2세,남자인구수,명,281,564,571,566,508,531,442,522,417,432,472,388,334,313
종로구,2세,여자인구수,명,281,534,554,525,447,485,448,453,398,420,439,388,368,273
종로구,3세,남자인구수,명,305,539,554,542,535,488,526,438,526,411,460,456,385,316
종로구,3세,여자인구수,명,297,524,525,525,520,428,480,445,454,409,435,437,380,360
종로구,4세,남자인구수,명,326,628,528,545,534,538,480,490,440,521,438,456,438,393
종로구,4세,여자인구수,명,342,539,498,514,522,499,413,476,441,471,421,424,436,371
종로구,5세,남자인구수,명,437,624,610,515,536,540,527,475,497,443,535,435,442,439
종로구,5세,여자인구수,명,423,559,524,500,516,527,487,398,467,434,511,430,435,404
종로구,6세,남자인구수,명,409,688,650,625,506,569,551,522,474,494,459,526,431,439
종로구,6세,여자인구수,명,388,617,575,537,522,509,541,470,420,488,450,489,431,430
종로구,7세,남자인구수,명,431,741,654,602,619,494,541,549,509,466,513,458,514,409
종로구,7세,여자인구수,명,443,697,574,582,530,485,487,511,475,418,499,451,486,424
종로구,8세,남자인구수,명,451,874,757,634,599,604,491,526,547,481,481,512,460,511
종로구,8세,여자인구수,명,436,760,676,569,588,517,478,476,516,484,438,498,457,479
종로구,9세,남자인구수,명,463,863,853,761,639,604,603,498,526,554,502,483,516,447
종로구,9세,여자인구수,명,441,816,778,675,576,564,508,461,472,521,504,433,499,465
종로구,10세,남자인구수,명,495,903,844,867,764,642,607,582,507,520,567,497,486,517
종로구,10세,여자인구수,명,489,828,810,790,688,585,546,501,456,480,522,508,441,501
종로구,11세,남자인구수,명,464,1040,915,840,894,749,661,620,569,499,535,589,508,475
종로구,11세,여자인구수,명,462,880,817,800,800,695,603,553,516,456,504,539,504,458
종로구,12세,남자인구수,명,460,1100,1064,951,884,904,770,678,659,590,515,556,585,489
종로구,12세,여자인구수,명,488,953,923,857,851,826,729,630,583,539,493,540,582,547
종로구,13세,남자인구수,명,560,1210,1058,1027,898,842,866,736,627,599,567,505,535,553
종로구,13세,여자인구수,명,548,942,895,904,836,831,788,677,600,560,543,477,521,565
종로구,14세,남자인구수,명,509,1112,1181,1051,1030,894,828,857,730,617,596,561,503,533
종로구,14세,여자인구수,명,525,1052,938,889,888,825,817,788,665,595,571,544,488,514
종로구,15세,남자인구수,명,536,1341,1124,1224,1113,1053,919,826,899,740,611,609,593,505
종로구,15세,여자인구수,명,488,1046,1042,956,916,899,838,836,773,644,597,557,541,475
종로구,16세,남자인구수,명,476,1268,1231,1049,1145,1028,974,844,759,814,708,597,590,569
종로구,16세,여자인구수,명,491,1030,1032,1007,933,885,844,816,782,758,666,598,560,546
종로구,17세,남자인구수,명,548,1262,1202,1201,1020,1092,980,959,823,754,802,696,594,573
종로구,17세,여자인구수,명,552,1038,1021,1003,996,924,856,810,786,761,756,659,588,550
종로구,18세,남자인구수,명,560,1134,1223,1166,1169,1010,1057,962,928,815,765,797,679,571
종로구,18세,여자인구수,명,543,989,1025,995,1002,973,896,836,823,769,776,762,658,590
종로구,19세,남자인구수,명,648,1070,1154,1199,1149,1137,997,1058,1056,1013,920,851,859,710
종로구,19세,여자인구수,명,745,1012,1044,1075,1042,1018,1007,1057,1006,1023,964,941,933,772
종로구,20세,남자인구수,명,758,1055,1065,1148,1220,1141,1090,981,1072,1031,1033,884,840,863
종로구,20세,여자인구수,명,855,1063,1037,1064,1118,1082,1038,1097,1099,1083,1116,1045,1049,972
종로구,21세,남자인구수,명,854,1049,1035,1042,1122,1138,1105,1073,960,1047,1024,989,858,804
종로구,21세,여자인구수,명,1059,1067,1094,1074,1089,1130,1097,1085,1114,1144,1104,1138,1082,1064
종로구,22세,남자인구수,명,888,1157,1097,1091,1091,1158,1180,1134,1121,1043,1140,1103,1035,916
종로구,22세,여자인구수,명,1112,1159,1081,1126,1097,1113,1149,1138,1084,1159,1147,1125,1148,1100
종로구,23세,남자인구수,명,1003,1239,1205,1144,1149,1146,1184,1303,1236,1192,1165,1235,1165,1064
종로구,23세,여자인구수,명,1171,1309,1229,1123,1139,1127,1129,1201,1189,1184,1219,1191,1229,1224
종로구,24세,남자인구수,명,1159,1427,1283,1252,1196,1237,1187,1196,1377,1307,1311,1205,1287,1205
종로구,24세,여자인구수,명,1259,1290,1356,1226,1175,1129,1149,1176,1207,1189,1265,1261,1231,1262
종로구,25세,남자인구수,명,1266,1598,1484,1347,1276,1204,1264,1199,1267,1393,1411,1343,1253,1342
종로구,25세,여자인구수,명,1296,1491,1314,1353,1280,1238,1140,1178,1192,1215,1225,1273,1282,1262
종로구,26세,남자인구수,명,1266,1743,1587,1459,1389,1273,1198,1294,1209,1250,1439,1383,1340,1257
종로구,26세,여자인구수,명,1286,1681,1462,1256,1339,1272,1194,1106,1166,1178,1233,1269,1243,1326
종로구,27세,남자인구수,명,1290,1796,1713,1583,1436,1371,1247,1204,1272,1242,1265,1397,1347,1385
종로구,27세,여자인구수,명,1279,1654,1629,1433,1221,1329,1201,1146,1128,1151,1216,1252,1255,1221
종로구,28세,남자인구수,명,1344,1687,1744,1655,1550,1382,1264,1209,1170,1204,1186,1243,1364,1340
종로구,28세,여자인구수,명,1308,1558,1634,1557,1396,1175,1251,1183,1115,1095,1118,1204,1214,1276
종로구,29세,남자인구수,명,1312,1677,1598,1635,1584,1454,1245,1217,1175,1092,1189,1145,1195,1329
종로구,29세,여자인구수,명,1269,1498,1485,1511,1433,1307,1133,1201,1119,1071,1101,1080,1155,1204
종로구,30세,남자인구수,명,1195,1393,1566,1524,1533,1436,1346,1157,1156,1103,1106,1147,1084,1194
